iter	Passed	Remaining
0	37	18542
1	67	16792
2	100	16603
3	129	16078
4	157	15602
5	186	15376
6	216	15252
7	246	15162
8	276	15081
9	307	15060
10	338	15049
11	368	14974
12	398	14917
13	428	14861
14	460	14905
15	492	14905
16	523	14884
17	554	14838
18	584	14786
19	614	14748
20	646	14748
21	677	14728
22	707	14669
23	734	14573
24	762	14482
25	792	14438
26	818	14336
27	848	14304
28	877	14252
29	908	14228
30	938	14200
31	969	14173
32	999	14139
33	1030	14125
34	1062	14109
35	1092	14084
36	1122	14045
37	1152	14010
38	1181	13966
39	1216	13985
40	1244	13932
41	1274	13900
42	1304	13867
43	1337	13859
44	1369	13847
45	1400	13825
46	1427	13762
47	1458	13738
48	1486	13685
49	1517	13660
50	1549	13637
51	1585	13657
52	1618	13650
53	1652	13652
54	1685	13636
55	1715	13599
56	1744	13554
57	1772	13505
58	1800	13459
59	1831	13432
60	1864	13418
61	1895	13389
62	1923	13343
63	1953	13309
64	1982	13265
65	2013	13241
66	2042	13201
67	2072	13169
68	2103	13136
69	2135	13120
70	2164	13079
71	2193	13042
72	2224	13011
73	2254	12979
74	2287	12962
75	2316	12921
76	2347	12894
77	2379	12872
78	2408	12835
79	2435	12788
80	2463	12744
81	2495	12720
82	2523	12676
83	2552	12638
84	2580	12598
85	2614	12588
86	2646	12561
87	2675	12527
88	2708	12508
89	2737	12468
90	2765	12431
91	2796	12400
92	2827	12375
93	2875	12418
94	2905	12386
95	2935	12353
96	2963	12311
97	2992	12277
98	3024	12251
99	3052	12211
100	3081	12171
101	3115	12156
102	3145	12124
103	3174	12089
104	3204	12055
105	3233	12018
106	3263	11986
107	3296	11964
108	3328	11939
109	3355	11896
110	3385	11864
111	3416	11835
112	3448	11808
113	3477	11774
114	3505	11736
115	3536	11705
116	3564	11670
117	3597	11646
118	3629	11619
119	3672	11630
120	3706	11608
121	3736	11575
122	3767	11547
123	3797	11516
124	3825	11476
125	3854	11441
126	3882	11404
127	3912	11370
128	3942	11338
129	3971	11302
130	4001	11271
131	4035	11250
132	4065	11218
133	4092	11178
134	4123	11147
135	4152	11114
136	4183	11084
137	4212	11049
138	4240	11013
139	4271	10984
140	4302	10953
141	4331	10920
142	4358	10880
143	4388	10849
144	4420	10822
145	4448	10786
146	4478	10754
147	4508	10722
148	4538	10692
149	4571	10666
150	4603	10638
151	4634	10610
152	4664	10578
153	4693	10544
154	4720	10505
155	4748	10472
156	4779	10441
157	4811	10415
158	4838	10376
159	4867	10342
160	4897	10312
161	4928	10282
162	4959	10253
163	4986	10217
164	5014	10181
165	5043	10148
166	5072	10113
167	5102	10083
168	5132	10052
169	5161	10019
170	5187	9981
171	5218	9950
172	5248	9919
173	5279	9892
174	5308	9858
175	5340	9830
176	5371	9802
177	5401	9771
178	5431	9740
179	5459	9705
180	5489	9674
181	5519	9644
182	5547	9609
183	5577	9578
184	5605	9545
185	5640	9522
186	5670	9490
187	5701	9461
188	5731	9431
189	5761	9400
190	5794	9373
191	5824	9344
192	5855	9314
193	5886	9284
194	5917	9256
195	5946	9222
196	5975	9191
197	6005	9160
198	6035	9129
199	6066	9100
200	6096	9069
201	6126	9037
202	6153	9002
203	6183	8972
204	6212	8940
205	6241	8907
206	6270	8875
207	6300	8845
208	6331	8815
209	6361	8784
210	6391	8754
211	6421	8723
212	6450	8691
213	6480	8660
214	6510	8630
215	6538	8596
216	6567	8564
217	6596	8533
218	6625	8501
219	6657	8473
220	6689	8444
221	6716	8411
222	6746	8379
223	6776	8349
224	6807	8319
225	6836	8289
226	6866	8258
227	6893	8223
228	6922	8192
229	6953	8162
230	6981	8130
231	7011	8099
232	7042	8070
233	7075	8042
234	7106	8013
235	7135	7982
236	7162	7947
237	7192	7917
238	7218	7883
239	7248	7852
240	7276	7820
241	7305	7788
242	7333	7755
243	7360	7722
244	7387	7688
